family,case,method,tail_ratio,pass,seed,status,runtime_s,memory_mb,peak_pre_terms,peak_post_terms,max_heavy,max_tail,tail_l1_fraction,estimate,reference,error,runtime_ratio_vs_bfs,memory_ratio_vs_bfs
clifford_t_depol,ct_depol_n20_d12,bfs_l1,0.0,1,0,ok,0.067163592,0.870346069335938,19013,,,,,0.0667833008543583,0.0663217307060528,0.000461570148305543,1.0,1.0
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.05,1,20281599,ok,0.799880518,4.66795349121094,101973,80763.0,76917.0,3846.0,0.23782605951253,0.0662588492993086,0.0663217307060528,6.2881406744153e-05,11.909436261241062,5.363330352916425
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.1,1,20286644,ok,1.638908992,9.59042358398438,209506,158726.0,144296.0,14430.0,0.347005834738707,0.0663531377992194,0.0663217307060528,3.14070931666383e-05,24.401747184694948,11.019092200073633
clifford_t_depol,ct_depol_n20_d12,hybrid_l1_tail,0.2,1,20296734,ok,6.408314903,31.7539672851562,693676,507659.0,423049.0,84610.0,0.496405363977424,0.0662956676602663,0.0663217307060528,2.60630457865202e-05,95.41352259718332,36.48430021564185
clifford_t,ct_n20_d12,bfs_l1,0.0,1,0,ok,6.418589188,37.7738342285156,825182,,,,,0.330312423013503,0.329520762689497,0.000791660324006016,1.0,1.0
clifford_t,ct_n20_d12,hybrid_l1_tail,0.05,1,20265761,ok,11.535143208,49.2809143066406,1076558,1004026.0,956215.0,47811.0,0.547699770562585,0.329561303068062,0.329520762689497,4.05403785649905e-05,1.7971462061422707,1.3046309783781034
clifford_t,ct_n20_d12,hybrid_l1_tail,0.1,1,20270806,ok,11.951319716,50.2825469970703,1098439,1048495.0,953177.0,95318.0,0.604865979557419,0.329520762689499,0.329520762689497,2.44249065417534e-15,1.8619854559852227,1.3311475529034813
clifford_t,ct_n20_d12,hybrid_l1_tail,0.2,1,20280896,ok,15.932992259,54.6475982666016,1193795,1143813.0,953177.0,190636.0,0.613424080643482,0.329520762689499,0.329520762689497,2.44249065417534e-15,2.482319991562607,1.4467050905133676
ising,ising_n20_s12,bfs_l1,0.0,1,0,ok,24.721869467,29.6669769287109,648085,,,,,0.713658577754688,0.714108793456576,0.000450215701887635,1.0,1.0
ising,ising_n20_s12,hybrid_l1_tail,0.05,1,20265761,support_cap,28.48564829,36.6211395263672,800001,505049.0,480999.0,24050.0,0.409505787744639,,0.714108793456576,,1.1522449112525281,1.2344075237044545
ising,ising_n20_s12,hybrid_l1_tail,0.1,1,20270806,support_cap,27.972474685,36.6211395263672,800001,482864.0,438967.0,43897.0,0.590654628704684,,0.714108793456576,,1.1314870310410412,1.2344075237044545
ising,ising_n20_s12,hybrid_l1_tail,0.2,1,20280896,support_cap,20.460896943,32.0435028076172,700001,429912.0,358260.0,71652.0,0.728200924193822,,0.714108793456576,,0.8276435958984509,1.0801067761173322
