family,case,method,tail_ratio,pass,seed,status,runtime_s,frontier_memory_mb,peak_pre_terms,peak_post_terms,max_heavy_k,max_tail_samples,truncation_events,estimate,reference,abs_error,cutoff
clifford_t,ct_n20_d12,bfs_l1,0.0,1,20260716,ok,4.39596466,39.01007080078125,852188,771001,771001,0,43,0.3305833788135651,0.3295207626894969,0.0010626161240681,0.00625
clifford_t,ct_n20_d12,bfs_l1_heavy_plus_random_tail,0.05,1,202612160016,ok,4.130384114,41.02606201171875,896228,809552,771001,38551,43,0.3312766895818646,0.3295207626894969,0.0017559268923676,0.00625
clifford_t,ct_n20_d12,bfs_l1_heavy_plus_random_tail,0.1,1,202617160031,ok,6.804331044,42.888427734375,936912,848102,771001,77101,43,0.3301416407235336,0.3295207626894969,0.0006208780340366,0.00625
clifford_t,ct_n20_d12,bfs_l1_heavy_plus_random_tail,0.2,1,202627160061,ok,5.365202885,46.023468017578125,1005398,925202,771001,154201,43,0.3287656772193111,0.3295207626894969,0.0007550854701858,0.00625
ising,ising_n20_s12,bfs_l1,0.0,1,20260716,ok,13.623214965,29.665695190429688,648057,534029,534029,0,177,0.7136666853325093,0.7141087934565759,0.0004421081240666,5e-05
ising,ising_n20_s12,bfs_l1_heavy_plus_random_tail,0.05,1,202612161025,ok,19.379352557,31.35580444335937,684978,560731,534029,26702,177,0.7137227278847865,0.7141087934565759,0.0003860655717894,5e-05
ising,ising_n20_s12,bfs_l1_heavy_plus_random_tail,0.1,1,202617161040,ok,19.778620823,32.90318298339844,718781,587432,534029,53403,177,0.71380166820676,0.7141087934565759,0.0003071252498157,5e-05
ising,ising_n20_s12,bfs_l1_heavy_plus_random_tail,0.2,1,202627161070,ok,20.233893104,35.969146728515625,785758,640835,534029,106806,177,0.7138419137131504,0.7141087934565759,0.0002668797434255,5e-05
clifford_t_depol,ct_depol_n20_d12,bfs_l1,0.0,1,20260716,ok,0.061948015,0.8674163818359375,18949,14763,14763,0,43,0.0667833008543583,0.0663217307060527,0.0004615701483055,0.034
clifford_t_depol,ct_depol_n20_d12,bfs_l1_heavy_plus_random_tail,0.05,1,202612162034,ok,0.0400974419999999,0.911773681640625,19918,15502,14763,739,43,0.0667833008543583,0.0663217307060527,0.0004615701483055,0.034
clifford_t_depol,ct_depol_n20_d12,bfs_l1_heavy_plus_random_tail,0.1,1,202617162049,ok,0.041417559,0.9646453857421876,21073,16240,14763,1477,43,0.0674240181604389,0.0663217307060527,0.0011022874543861,0.034
clifford_t_depol,ct_depol_n20_d12,bfs_l1_heavy_plus_random_tail,0.2,1,202627162079,ok,0.048151606,1.044708251953125,22822,17716,14763,2953,43,0.0675589565716037,0.0663217307060527,0.0012372258655509,0.034
