case,method,comparison,nominal_retained_mb,K,repetitions,mean_estimate,empirical_stderr,abs_error,mean_runtime_s,peak_pre_est_mb,status,estimated_core_seconds_to_se_4.7e-4,estimated_100_core_wall_s
ct_n20_d12,l1_bfs,baseline,, ,1,0.330206246722004,,0.000685484022004,3.72,38.82,ok,,
ct_n20_d12,probabilistic_bfs,peak_memory_lower_bracket,20.5,447829,7,0.334746369304306,0.011921383697653,0.005225606614809,5.30375231257143,33.3307800292969,ok,23885.7504589865,238.857504589865
ct_n20_d12,probabilistic_bfs,peak_memory_upper_bracket,21.0,458752,3,0.320308846381150,0.023367514668620,0.009211916308347,9.42753476600000,42.5193328857422,ok,69911.5175671394,699.115175671394
ct_n20_d12,probabilistic_bfs,equal_retained_population,38.82,848035,5,0.327372754593250,0.006397128300621,0.002148008096247,10.7978293624000,63.3187408447266,ok,10001.8622860006,100.018622860006
ising_n20_s12,l1_bfs,baseline,, ,1,0.713658573724300,,0.000450219732276,10.59,29.67,ok,,
ising_n20_s12,probabilistic_bfs,peak_memory_lower_bracket,10.5,229376,5,0.731586085581997,0.022933162164390,0.017477292125421,10.6703370172000,28.3799743652344,ok,127022.398528933,1270.22398528932
ising_n20_s12,probabilistic_bfs,peak_memory_upper_bracket,11.0,240298,3,0.753499889143427,0.032816734691207,0.039391095686851,11.5415740133333,30.9333343505859,ok,168018.029427711,1680.18029427711
ising_n20_s12,probabilistic_bfs,equal_retained_population,29.67,648151,1,,,,>180,,timeout,,
ct_depol_n20_d12,l1_bfs,baseline,, ,1,0.0667833008543583,,0.000461570148306,0.041,0.87,ok,,
ct_depol_n20_d12,probabilistic_bfs,equal_retained_population,0.87,19005,12,0.0720835991715296,0.005058849620371,0.005761868465477,0.305216117166667,2.81996154785156,ok,424.322960813321,4.24322960813321
