calibration_label,method,case,nominal_mb,reps,mean,variance,stderr,abs_error,mean_runtime_s,peak_pre_est_mb,avg_deterministic_fraction,bfs_error_target,required_replicas,ideal_wall_100_s,wall100_vs_singlecore_bfs
ct_peak_8mb,ordinary_multinomial,ct,2.5,30,0.330082236525069,0.011909399465251,0.0199243565059209,0.0005614738355717,0.691738579,7.04910278320312,0.0,0.000685484022004,25346,175.701599066,47.23161265215054
ct_peak_8mb,residual_multinomial,ct,3.0,30,0.33056307000954,0.002906639420743,0.009843169240211,0.001042307320043,0.901146362066667,8.50483703613281,0.342943149142795,0.000685484022004,6186,55.87107444813336,15.01910603444445
ct_peak_8mb,residual_dependent_rounding,ct,2.3,30,0.322975546416377,0.0011159535438449,0.0060990533250248,0.0065452162731203,0.5762371488,8.080078125,0.292686688957886,0.000685484022004,2375,13.8296915712,3.717659024516129
ct_peak_16mb,ordinary_multinomial,ct,6.5,20,0.320812659932827,0.0034913457869184,0.0132123915074419,0.0087081027566695,1.86754035965,15.4077758789062,0.0,0.000685484022004,7431,140.06552697375,37.65202338004032
ct_peak_16mb,residual_multinomial,ct,6.0,20,0.324726361017829,0.0005592703829549,0.0052880543820715,0.004794401671668,2.00468204305,15.9842376708984,0.304022979736328,0.000685484022004,1191,24.0561845166,6.466716267903225
ct_peak_16mb,residual_dependent_rounding,ct,5.5,20,0.326876725326199,0.0003020586816983,0.0038862493595906,0.0026440373632975,1.622005169,16.2367858886719,0.361607587245836,0.000685484022004,643,11.354036183,3.052160264247312
ct_peak_32mb,ordinary_multinomial,ct,18.0,10,0.339600959644099,0.0018024031820273,0.0134253610082832,0.0100801969546019,4.9203016401,32.8334655761719,0.0,0.000685484022004,3836,191.8917639639,51.58380751717741
ct_peak_32mb,residual_multinomial,ct,18.0,10,0.329251189293572,6.37988671983757e-05,0.0025258437639405,0.0002695733959251,4.0805092117,31.9219665527344,0.516417058308919,0.000685484022004,136,8.1610184234,2.193822156827957
ct_peak_32mb,residual_dependent_rounding,ct,16.0,10,0.328055187017395,3.33923503990237e-05,0.0018273573924939,0.0014655756721024,4.4723260473,32.8335113525391,0.473813747228381,0.000685484022004,72,4.4723260473,1.2022381847580643
ct_bfs_memory_upper_bracket,ordinary_multinomial,ct,20.8,6,0.323223731721078,0.0007942316366405,0.0115053004932552,0.0062970309684186,8.57815421816667,42.5193328857422,0.0,0.000685484022004,1691,145.8286217088334,39.20124239484768
